QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,PRODUCTLINE,MSRP,COUNTRY,DEALSIZE,sale_year,sale_month,sale_day
24,100.0,4,2416.56,2005-03-09,Classic Cars,214,Australia,Small,2005,3,9
23,100.0,9,4140.23,2005-05-01,Classic Cars,214,Canada,Medium,2005,5,1
50,100.0,6,12001.0,2005-05-31,Classic Cars,214,Spain,Large,2005,5,31
39,99.91,5,3896.49,2003-02-24,Motorcycles,118,USA,Medium,2003,2,24
29,96.34,3,2793.86,2003-04-29,Motorcycles,118,Australia,Small,2003,4,29
27,100.0,5,3307.77,2003-07-01,Motorcycles,118,France,Medium,2003,7,1
37,100.0,9,5192.95,2003-08-25,Motorcycles,118,USA,Medium,2003,8,25
37,100.0,17,5016.83,2003-10-10,Motorcycles,118,USA,Medium,2003,10,10
27,100.0,4,3660.93,2003-10-28,Motorcycles,118,USA,Medium,2003,10,28
42,100.0,12,4695.6,2003-11-11,Motorcycles,118,France,Medium,2003,11,11
38,96.34,4,3660.92,2003-11-18,Motorcycles,118,Norway,Medium,2003,11,18
24,100.0,5,3025.92,2003-12-01,Motorcycles,118,USA,Medium,2003,12,1
23,100.0,2,3009.09,2004-01-12,Motorcycles,118,Japan,Medium,2004,1,12
47,100.0,4,5422.39,2004-02-20,Motorcycles,118,Australia,Medium,2004,2,20
22,100.0,1,2852.08,2004-04-03,Motorcycles,118,USA,Small,2004,4,3
44,100.0,5,5756.52,2004-05-18,Motorcycles,118,USA,Medium,2004,5,18
40,100.0,5,4472.0,2004-06-28,Motorcycles,118,USA,Medium,2004,6,28
22,100.0,4,2904.44,2004-07-23,Motorcycles,118,France,Small,2004,7,23
47,100.0,9,6484.59,2004-08-27,Motorcycles,118,USA,Medium,2004,8,27
39,96.34,1,3757.26,2004-09-27,Motorcycles,118,France,Medium,2004,9,27
34,100.0,2,4043.96,2004-10-15,Motorcycles,118,USA,Medium,2004,10,15
45,100.0,4,5566.5,2004-11-02,Motorcycles,118,USA,Medium,2004,11,2
20,100.0,2,3176.0,2004-11-15,Motorcycles,118,USA,Medium,2004,11,15
40,68.92,4,2756.8,2004-11-23,Motorcycles,118,Japan,Small,2004,11,23
26,51.15,8,1329.9,2004-12-17,Motorcycles,118,Australia,Small,2004,12,17
39,100.0,5,5288.01,2005-02-02,Motorcycles,118,Australia,Medium,2005,2,2
50,44.51,5,2225.5,2005-03-03,Motorcycles,118,USA,Small,2005,3,3
45,100.0,1,5833.8,2005-04-07,Motorcycles,118,France,Medium,2005,4,7
45,100.0,5,5887.35,2005-05-13,Motorcycles,118,Spain,Medium,2005,5,13
27,100.0,4,6065.55,2003-02-24,Motorcycles,193,USA,Medium,2003,2,24
46,100.0,2,9264.86,2003-04-29,Motorcycles,193,Australia,Large,2003,4,29
31,100.0,4,7023.98,2003-07-01,Motorcycles,193,France,Large,2003,7,1
33,100.0,8,5176.38,2003-08-25,Motorcycles,193,USA,Medium,2003,8,25
22,100.0,16,4132.7,2003-10-10,Motorcycles,193,USA,Medium,2003,10,10
20,100.0,3,4183.0,2003-10-28,Motorcycles,193,USA,Medium,2003,10,28
41,100.0,11,8892.9,2003-11-11,Motorcycles,193,France,Large,2003,11,11
45,100.0,3,8714.7,2003-11-18,Motorcycles,193,Norway,Large,2003,11,18
49,100.0,4,8065.89,2003-12-01,Motorcycles,193,USA,Large,2003,12,1
34,100.0,1,6123.4,2004-01-12,Motorcycles,193,Japan,Medium,2004,1,12
49,100.0,3,9774.03,2004-02-20,Motorcycles,193,Australia,Large,2004,2,20
39,100.0,9,7023.9,2004-04-05,Motorcycles,193,USA,Large,2004,4,5
43,100.0,4,7078.23,2004-05-18,Motorcycles,193,USA,Large,2004,5,18
41,100.0,4,8336.94,2004-06-28,Motorcycles,193,USA,Large,2004,6,28
36,100.0,3,6901.92,2004-07-23,Motorcycles,193,France,Medium,2004,7,23
27,100.0,8,5438.07,2004-08-27,Motorcycles,193,USA,Medium,2004,8,27
29,100.0,11,6683.34,2004-09-30,Motorcycles,193,Finland,Medium,2004,9,30
20,100.0,1,4570.4,2004-10-15,Motorcycles,193,USA,Medium,2004,10,15
37,100.0,3,7667.14,2004-11-02,Motorcycles,193,USA,Large,2004,11,2
26,100.0,3,5868.2,2004-11-15,Motorcycles,193,USA,Medium,2004,11,15
39,76.67,3,2990.13,2004-11-23,Motorcycles,193,Japan,Small,2004,11,23
22,100.0,4,3664.1,2005-01-05,Motorcycles,193,USA,Medium,2005,1,5
22,100.0,1,3834.38,2005-02-02,Motorcycles,193,Australia,Medium,2005,2,2
21,86.77,7,1822.17,2005-03-03,Motorcycles,193,USA,Small,2005,3,3
66,100.0,9,11886.6,2005-04-08,Motorcycles,193,UK,Large,2005,4,8
56,100.0,4,9218.16,2005-05-13,Motorcycles,193,Spain,Large,2005,5,13
50,100.0,2,7208.0,2003-02-11,Classic Cars,136,Denmark,Large,2003,2,11
46,100.0,11,5004.8,2003-04-28,Classic Cars,136,Austria,Medium,2003,4,28
33,100.0,2,4398.24,2003-06-12,Classic Cars,136,UK,Medium,2003,6,12
49,100.0,15,5597.76,2003-08-10,Classic Cars,136,USA,Medium,2003,8,10
32,100.0,13,4526.08,2003-10-06,Classic Cars,136,Finland,Medium,2003,10,6
44,100.0,9,5924.16,2003-10-23,Classic Cars,136,Sweden,Medium,2003,10,23
24,100.0,12,3492.48,2003-11-08,Classic Cars,136,France,Medium,2003,11,8
26,100.0,9,3854.24,2003-11-14,Classic Cars,136,UK,Medium,2003,11,14
45,100.0,6,5324.4,2003-11-26,Classic Cars,136,Spain,Medium,2003,11,26
39,100.0,8,5197.92,2004-01-09,Classic Cars,136,USA,Medium,2004,1,9
49,100.0,12,5997.6,2004-02-19,Classic Cars,136,USA,Medium,2004,2,19
20,100.0,3,2910.4,2004-05-07,Classic Cars,136,USA,Small,2004,5,7
27,100.0,1,3378.24,2004-06-17,Classic Cars,136,Canada,Medium,2004,6,17
30,100.0,4,3508.8,2004-07-21,Classic Cars,136,Belgium,Medium,2004,7,21
25,100.0,6,2992.0,2004-08-20,Classic Cars,136,Canada,Small,2004,8,20
24,100.0,1,3427.2,2004-09-10,Classic Cars,136,USA,Medium,2004,9,10
22,100.0,9,2692.8,2004-10-14,Classic Cars,136,USA,Small,2004,10,14
33,100.0,17,4128.96,2004-11-01,Classic Cars,136,UK,Medium,2004,11,1
47,64.93,6,3051.71,2004-11-05,Classic Cars,136,Norway,Medium,2004,11,5
25,48.05,8,1201.25,2004-11-21,Classic Cars,136,USA,Small,2004,11,21
26,75.47,5,1962.22,2004-12-02,Classic Cars,136,Spain,Small,2004,12,2
48,54.68,6,2624.64,2004-12-15,Classic Cars,136,France,Small,2004,12,15
39,100.0,3,4046.25,2005-01-31,Classic Cars,136,Finland,Medium,2005,1,31
34,100.0,4,4846.7,2005-02-23,Classic Cars,136,USA,Medium,2005,2,23
32,100.0,2,3370.56,2005-03-17,Classic Cars,136,France,Medium,2005,3,17
64,100.0,9,9661.44,2005-04-01,Classic Cars,136,USA,Large,2005,4,1
19,100.0,3,2764.88,2005-05-06,Classic Cars,136,USA,Small,2005,5,6
42,100.0,4,5398.26,2003-01-29,Classic Cars,147,Norway,Medium,2003,1,29
31,100.0,8,4305.28,2003-04-01,Classic Cars,147,France,Medium,2003,4,1
22,100.0,4,3347.74,2003-05-28,Classic Cars,147,Spain,Medium,2003,5,28
26,100.0,4,3188.12,2003-07-24,Classic Cars,147,USA,Medium,2003,7,24
20,100.0,1,3191.2,2003-09-19,Classic Cars,147,Singapore,Medium,2003,9,19
21,100.0,2,3536.82,2003-10-21,Classic Cars,147,Austria,Medium,2003,10,21
33,100.0,9,5362.83,2003-11-06,Classic Cars,147,UK,Medium,2003,11,6
28,100.0,1,3433.36,2003-11-13,Classic Cars,147,USA,Medium,2003,11,13
26,100.0,4,4263.74,2003-11-25,Classic Cars,147,France,Medium,2003,11,25
31,100.0,15,4076.19,2003-12-09,Classic Cars,147,USA,Medium,2003,12,9
48,100.0,4,7020.48,2004-02-04,Classic Cars,147,Singapore,Large,2004,2,4
50,100.0,9,6426.5,2004-03-11,Classic Cars,147,USA,Medium,2004,3,11
28,100.0,2,4591.72,2004-05-04,Classic Cars,147,USA,Medium,2004,5,4
26,100.0,12,4033.38,2004-06-15,Classic Cars,147,Singapore,Medium,2004,6,15
32,100.0,2,4302.08,2004-07-19,Classic Cars,147,Australia,Medium,2004,7,19
44,100.0,9,7020.64,2004-08-19,Classic Cars,147,USA,Large,2004,8,19
30,100.0,4,3855.9,2004-09-08,Classic Cars,147,Sweden,Medium,2004,9,8
38,100.0,13,6680.78,2004-10-13,Classic Cars,147,USA,Medium,2004,10,13
40,100.0,7,6678.0,2004-10-22,Classic Cars,147,Canada,Medium,2004,10,22
46,61.99,8,2851.54,2004-11-04,Classic Cars,147,USA,Small,2004,11,4
26,100.0,2,3188.12,2004-11-19,Classic Cars,147,Sweden,Medium,2004,11,19
27,100.0,2,4428.0,2004-11-29,Classic Cars,147,Australia,Medium,2004,11,29
43,100.0,9,5780.92,2004-12-10,Classic Cars,147,USA,Medium,2004,12,10
35,65.63,4,2297.05,2005-01-20,Classic Cars,147,Australia,Small,2005,1,20
37,100.0,6,6231.54,2005-02-17,Classic Cars,147,USA,Medium,2005,2,17
37,46.9,7,1735.3,2005-03-09,Classic Cars,147,Australia,Small,2005,3,9
27,100.0,2,4427.73,2005-05-01,Classic Cars,147,Canada,Medium,2005,5,1
38,100.0,12,5894.94,2005-05-31,Classic Cars,147,France,Medium,2005,5,31
33,100.0,6,5265.15,2003-03-03,Classic Cars,194,Philippines,Medium,2003,3,3
42,100.0,10,7599.9,2003-05-08,Classic Cars,194,France,Large,2003,5,8
42,100.0,7,8008.56,2003-07-02,Classic Cars,194,USA,Large,2003,7,2
48,100.0,7,9245.76,2003-09-05,Classic Cars,194,USA,Large,2003,9,5
41,100.0,2,8296.35,2003-10-10,Classic Cars,194,USA,Large,2003,10,10
30,100.0,2,5019.9,2003-11-04,Classic Cars,194,Australia,Medium,2003,11,4
27,100.0,14,5411.07,2003-11-12,Classic Cars,194,Norway,Medium,2003,11,12
21,100.0,3,3840.9,2003-11-20,Classic Cars,194,Germany,Medium,2003,11,20
20,100.0,8,3930.4,2003-12-02,Classic Cars,194,Spain,Medium,2003,12,2
41,100.0,2,7498.9,2004-01-15,Classic Cars,194,France,Large,2004,1,15
27,100.0,9,4517.91,2004-02-22,Classic Cars,194,Switzerland,Medium,2004,2,22
28,100.0,3,5774.72,2004-04-09,Classic Cars,194,Denmark,Medium,2004,4,9
24,100.0,13,3922.56,2004-06-01,Classic Cars,194,UK,Medium,2004,6,1
44,100.0,14,9160.36,2004-07-06,Classic Cars,194,Italy,Large,2004,7,6
50,100.0,3,9631.0,2004-08-02,Classic Cars,194,USA,Large,2004,8,2
21,100.0,12,3432.24,2004-08-30,Classic Cars,194,Switzerland,Medium,2004,8,30
33,100.0,5,5521.89,2003-10-04,Classic Cars,194,Germany,Medium,2003,10,4
33,100.0,10,6934.62,2004-10-16,Classic Cars,194,Germany,Medium,2004,10,16
31,100.0,3,6876.11,2004-11-03,Classic Cars,194,Sweden,Medium,2004,11,3
41,71.47,5,2930.27,2004-11-15,Classic Cars,194,USA,Small,2004,11,15
45,79.65,2,3584.25,2004-11-24,Classic Cars,194,Austria,Medium,2004,11,24
33,85.39,3,2817.87,2005-01-06,Classic Cars,194,Finland,Small,2005,1,6
45,76.0,7,3420.0,2005-02-03,Classic Cars,194,France,Medium,2005,2,3
26,99.04,4,2575.04,2005-03-03,Classic Cars,194,Sweden,Small,2005,3,3
12,100.0,13,1961.28,2005-05-17,Classic Cars,194,Austria,Small,2005,5,17
41,100.0,15,8690.36,2003-02-11,Classic Cars,207,Denmark,Large,2003,2,11
33,100.0,9,6034.38,2003-04-16,Classic Cars,207,Singapore,Medium,2003,4,16
46,100.0,2,11279.2,2003-06-03,Classic Cars,207,USA,Large,2003,6,3
33,100.0,12,8023.29,2003-08-08,Classic Cars,207,USA,Large,2003,8,8
20,100.0,11,4904.0,2003-09-28,Classic Cars,207,Spain,Medium,2003,9,28
44,100.0,3,8594.52,2003-10-22,Classic Cars,207,Singapore,Large,2003,10,22
33,100.0,2,7474.5,2003-11-06,Classic Cars,207,Italy,Large,2003,11,6
21,100.0,13,3883.74,2003-11-14,Classic Cars,207,USA,Medium,2003,11,14
47,100.0,5,8887.7,2003-11-26,Classic Cars,207,USA,Large,2003,11,26
46,100.0,13,8602.92,2004-01-02,Classic Cars,207,France,Large,2004,1,2
32,100.0,2,7181.44,2004-02-12,Classic Cars,207,Ireland,Large,2004,2,12
42,100.0,2,8378.58,2004-03-19,Classic Cars,207,Spain,Large,2004,3,19
44,100.0,2,10606.2,2004-05-05,Classic Cars,207,Finland,Large,2004,5,5
35,100.0,2,5818.4,2004-07-20,Classic Cars,207,USA,Medium,2004,7,20
41,100.0,5,7071.27,2004-08-20,Classic Cars,207,USA,Large,2004,8,20
46,100.0,8,8411.56,2004-09-09,Classic Cars,207,Italy,Large,2004,9,9
31,100.0,13,6570.76,2004-10-14,Classic Cars,207,UK,Medium,2004,10,14
38,100.0,5,7975.44,2004-10-22,Classic Cars,207,Denmark,Large,2004,10,22
42,64.0,8,2688.0,2004-11-05,Classic Cars,207,Norway,Small,2004,11,5
33,57.22,10,1888.26,2004-11-20,Classic Cars,207,France,Small,2004,11,20
48,52.36,8,2513.28,2004-11-01,Classic Cars,207,Spain,Small,2004,11,1
42,100.0,8,4764.48,2004-12-15,Classic Cars,207,France,Medium,2004,12,15
32,100.0,6,3560.64,2005-01-23,Classic Cars,207,USA,Medium,2005,1,23
34,100.0,10,3823.64,2005-02-17,Classic Cars,207,USA,Medium,2005,2,17
33,69.12,1,2280.96,2005-03-17,Classic Cars,207,France,Small,2005,3,17
36,100.0,2,8677.8,2005-05-05,Classic Cars,207,USA,Large,2005,5,5
27,100.0,8,3394.98,2003-01-29,Trucks and Buses,136,Norway,Medium,2003,1,29
21,100.0,2,3415.44,2003-03-26,Trucks and Buses,136,USA,Medium,2003,3,26
21,100.0,8,2439.57,2003-05-28,Trucks and Buses,136,Spain,Small,2003,5,28
38,100.0,8,4829.8,2003-07-24,Trucks and Buses,136,USA,Medium,2003,7,24
30,100.0,5,4100.1,2003-09-19,Trucks and Buses,136,Singapore,Medium,2003,9,19
49,100.0,6,6563.06,2003-10-21,Trucks and Buses,136,Austria,Medium,2003,10,21
43,100.0,1,6817.22,2003-11-06,Trucks and Buses,136,Australia,Medium,2003,11,6
41,100.0,5,6163.94,2003-11-13,Trucks and Buses,136,USA,Medium,2003,11,13
38,100.0,8,4933.92,2003-11-25,Trucks and Buses,136,France,Medium,2003,11,25
28,100.0,3,4056.36,2003-12-05,Trucks and Buses,136,Canada,Medium,2003,12,5
43,100.0,1,5759.42,2004-02-02,Trucks and Buses,136,France,Medium,2004,2,2
25,100.0,13,3451.0,2004-03-11,Trucks and Buses,136,USA,Medium,2004,3,11
38,100.0,6,5920.4,2004-05-04,Trucks and Buses,136,USA,Medium,2004,5,4
41,100.0,3,6668.24,2004-06-15,Trucks and Buses,136,Japan,Medium,2004,6,15
28,100.0,6,4094.72,2004-07-19,Trucks and Buses,136,Australia,Medium,2004,7,19
25,100.0,13,2938.5,2004-08-19,Trucks and Buses,136,USA,Small,2004,8,19
41,100.0,8,6387.8,2004-09-08,Trucks and Buses,136,Sweden,Medium,2004,9,8
39,100.0,3,6396.0,2004-10-11,Trucks and Buses,136,France,Medium,2004,10,11
21,100.0,11,2669.1,2004-10-22,Trucks and Buses,136,Canada,Small,2004,10,22
27,100.0,9,4784.13,2004-11-04,Trucks and Buses,136,USA,Medium,2004,11,4
33,99.21,6,3273.93,2004-11-18,Trucks and Buses,136,USA,Medium,2004,11,18
29,100.0,3,3586.43,2004-11-29,Trucks and Buses,136,Australia,Medium,2004,11,29
49,100.0,8,5960.36,2004-12-10,Trucks and Buses,136,USA,Medium,2004,12,10
49,100.0,8,8470.14,2005-01-20,Trucks and Buses,136,Australia,Large,2005,1,20
20,100.0,1,2952.0,2005-02-17,Trucks and Buses,136,USA,Small,2005,2,17
39,63.2,9,2464.8,2005-03-09,Trucks and Buses,136,Australia,Small,2005,3,9
40,100.0,6,6232.0,2005-05-01,Trucks and Buses,136,Canada,Medium,2005,5,1
49,100.0,3,7969.36,2005-05-31,Trucks and Buses,136,Spain,Large,2005,5,31
21,100.0,1,3036.6,2003-02-24,Motorcycles,150,USA,Medium,2003,2,24
50,100.0,4,8284.0,2003-05-07,Motorcycles,150,France,Large,2003,5,7
20,100.0,1,2711.2,2003-07-01,Motorcycles,150,France,Small,2003,7,1
49,100.0,5,8339.8,2003-08-25,Motorcycles,150,USA,Large,2003,8,25
38,100.0,13,6238.84,2003-10-10,Motorcycles,150,USA,Medium,2003,10,10
35,100.0,13,4639.25,2003-11-04,Motorcycles,150,Australia,Medium,2003,11,4
40,100.0,8,6747.6,2003-11-11,Motorcycles,150,France,Medium,2003,11,11
28,100.0,1,4512.48,2003-11-18,Motorcycles,150,USA,Medium,2003,11,18
25,100.0,1,4029.0,2003-12-01,Motorcycles,150,USA,Medium,2003,12,1
36,100.0,13,4771.8,2004-01-15,Motorcycles,150,France,Medium,2004,1,15
43,100.0,6,6087.94,2004-02-21,Motorcycles,150,France,Medium,2004,2,21
32,100.0,6,4193.28,2004-04-05,Motorcycles,150,USA,Medium,2004,4,5
46,100.0,1,7552.28,2004-05-18,Motorcycles,150,USA,Large,2004,5,18
48,100.0,1,6434.4,2004-06-28,Motorcycles,150,USA,Medium,2004,6,28
43,100.0,14,5181.5,2004-08-02,Motorcycles,150,USA,Medium,2004,8,2
49,100.0,5,6863.92,2004-08-27,Motorcycles,150,USA,Medium,2004,8,27
24,100.0,8,4157.04,2004-09-30,Motorcycles,150,Finland,Medium,2004,9,30
26,100.0,4,4660.24,2004-10-15,Motorcycles,150,Norway,Medium,2004,10,15
30,100.0,9,4111.8,2004-11-03,Motorcycles,150,USA,Medium,2004,11,3
24,100.0,6,3542.64,2004-11-15,Motorcycles,150,USA,Medium,2004,11,15
55,100.0,8,8118.55,2004-11-24,Motorcycles,150,Austria,Large,2004,11,24
22,100.0,1,3877.06,2005-01-05,Motorcycles,150,USA,Medium,2005,1,5
49,78.92,13,3867.08,2005-02-03,Motorcycles,150,France,Medium,2005,2,3
44,100.0,6,5951.44,2005-03-03,Motorcycles,150,USA,Medium,2005,3,3
66,100.0,6,8648.64,2005-04-08,Motorcycles,150,UK,Large,2005,4,8
21,100.0,1,3447.78,2005-05-13,Motorcycles,150,Spain,Medium,2005,5,13
34,100.0,1,5958.5,2003-01-31,Classic Cars,151,Spain,Medium,2003,1,31
43,100.0,10,5911.64,2003-04-16,Classic Cars,151,Singapore,Medium,2003,4,16
46,100.0,3,7366.44,2003-06-03,Classic Cars,151,USA,Large,2003,6,3
33,100.0,13,4985.64,2003-08-08,Classic Cars,151,USA,Medium,2003,8,8
42,100.0,12,5393.64,2003-09-28,Classic Cars,151,Spain,Medium,2003,9,28
34,100.0,4,4880.02,2003-10-22,Classic Cars,151,Singapore,Medium,2003,10,22
47,100.0,3,8378.69,2003-11-06,Classic Cars,151,Italy,Large,2003,11,6
33,100.0,14,4038.21,2003-11-14,Classic Cars,151,USA,Medium,2003,11,14
24,100.0,6,3807.12,2003-11-26,Classic Cars,151,USA,Medium,2003,11,26
26,100.0,14,3142.36,2004-01-02,Classic Cars,151,France,Medium,2004,1,2
30,100.0,3,4713.6,2004-02-12,Classic Cars,151,Ireland,Medium,2004,2,12
43,100.0,1,7016.31,2004-03-15,Classic Cars,151,Germany,Large,2004,3,15
25,100.0,3,4381.25,2004-05-05,Classic Cars,151,Finland,Medium,2004,5,5
27,100.0,3,4283.01,2004-07-20,Classic Cars,151,USA,Medium,2004,7,20
27,100.0,6,4364.82,2004-08-20,Classic Cars,151,USA,Medium,2004,8,20
24,100.0,9,4242.24,2004-09-09,Classic Cars,151,Italy,Medium,2004,9,9
34,100.0,14,4982.7,2004-10-14,Classic Cars,151,UK,Medium,2004,10,14
46,100.0,6,6393.54,2004-10-22,Classic Cars,151,Denmark,Medium,2004,10,22
27,54.33,1,1466.91,2004-11-05,Classic Cars,151,USA,Small,2004,11,5
33,100.0,11,4059.33,2004-11-20,Classic Cars,151,France,Medium,2004,11,20
47,100.0,4,4801.52,2004-11-01,Classic Cars,151,Spain,Medium,2004,11,1
49,55.34,5,2711.66,2004-12-10,Classic Cars,151,Spain,Small,2004,12,10
40,100.0,4,5862.0,2005-01-26,Classic Cars,151,Japan,Medium,2005,1,26
37,100.0,11,4071.85,2005-02-17,Classic Cars,151,USA,Medium,2005,2,17
47,100.0,3,8236.75,2005-05-05,Classic Cars,151,USA,Large,2005,5,5
45,100.0,4,6130.35,2003-03-03,Classic Cars,117,Philippines,Medium,2003,3,3
37,99.82,8,3693.34,2003-05-08,Classic Cars,117,France,Medium,2003,5,8
48,100.0,5,6031.68,2003-07-02,Classic Cars,117,USA,Medium,2003,7,2
31,100.0,5,3494.94,2003-09-05,Classic Cars,117,USA,Medium,2003,9,5
46,100.0,6,5294.14,2003-10-11,Classic Cars,117,USA,Medium,2003,10,11
47,100.0,4,5464.69,2003-11-04,Classic Cars,117,Austria,Medium,2003,11,4
28,100.0,12,2860.76,2003-11-12,Classic Cars,117,Norway,Small,2003,11,12
40,100.0,1,5590.0,2003-11-20,Classic Cars,117,Germany,Medium,2003,11,20
20,100.0,6,2254.8,2003-12-02,Classic Cars,117,Spain,Small,2003,12,2
39,100.0,16,4946.76,2004-01-16,Classic Cars,117,Spain,Medium,2004,1,16
25,99.82,7,2495.5,2004-02-22,Classic Cars,117,Switzerland,Small,2004,2,22
29,100.0,1,3167.38,2004-04-09,Classic Cars,117,Denmark,Medium,2004,4,9
22,100.0,11,2402.84,2004-06-01,Classic Cars,117,UK,Small,2004,6,1
22,100.0,12,2454.54,2004-07-06,Classic Cars,117,Italy,Small,2004,7,6
47,100.0,1,5464.69,2004-08-02,Classic Cars,117,USA,Medium,2004,8,2
45,100.0,10,4756.5,2004-08-30,Classic Cars,117,Switzerland,Medium,2004,8,30
29,100.0,3,3984.6,2003-10-04,Classic Cars,117,Germany,Medium,2003,10,4
24,100.0,8,3100.32,2004-10-16,Classic Cars,117,Germany,Medium,2004,10,16
35,100.0,1,4850.3,2004-11-03,Classic Cars,117,Sweden,Medium,2004,11,3
46,83.63,13,3846.98,2004-11-15,Classic Cars,117,USA,Medium,2004,11,15
44,95.93,1,4220.92,2004-11-24,Classic Cars,117,Austria,Medium,2004,11,24
34,96.73,4,3288.82,2005-01-06,Classic Cars,117,Finland,Medium,2005,1,6
35,100.0,1,3987.2,2005-02-08,Classic Cars,117,USA,Medium,2005,2,8
25,72.38,6,1809.5,2005-03-03,Classic Cars,117,Sweden,Small,2005,3,3
10,100.0,11,1092.2,2005-05-17,Classic Cars,117,Austria,Small,2005,5,17
29,100.0,14,4566.05,2003-02-11,Classic Cars,173,Denmark,Medium,2003,2,11
39,100.0,8,5938.14,2003-04-16,Classic Cars,173,Singapore,Medium,2003,4,16
42,100.0,1,8138.76,2003-06-03,Classic Cars,173,USA,Large,2003,6,3
